index,score
1008,2
1002,-8
1006,-40
1007,18
1003,-20
1001,33
1005,-23
1016,-28
1015,34
1019,27
1014,24
1013,27
1012,21
1033,31
1030,3
1031,12
1034,-13
1036,24
1035,5
1037,13
1041,14
1044,25
1043,24
1042,13
1045,29
2011,31
2015,-3
2028,16
2048,23
2115,-17
2133,18
2110,-22
2026,21
2027,26
2211,31
2001,-17
2002,-6
2004,-14
2036,6
2046,22
2040,25
2043,17
1050,24
1080,27
1081,19
1093,39
1092,-31
1090,14
1091,37
2052,20
2053,32
2055,4
2056,35
2089,10
1110,16
1120,43
1121,37
1132,14
2153,27
2148,25
2140,50
2152,33
